avg_temp,date_offset,holiday_type,user_id,week_day
25.9,244,0,1,4
25.9,245,0,1,5
25.74,246,1,1,6
24.99,247,1,1,7
24.81,248,0,1,1
24.87,249,0,1,2
24.4,250,0,1,3
23.87,251,0,1,4
23.87,252,0,1,5
23.71,253,1,1,6
22.33,254,1,1,7
22.64,255,0,1,1
22.7,256,0,1,2
22.7,257,0,1,3
22.78,258,2,1,4
22.78,259,2,1,5
22.62,260,2,1,6
22.18,261,0,1,7
22.64,262,0,1,1
22.7,263,0,1,2
22.7,264,0,1,3
22.78,265,0,1,4
22.78,266,0,1,5
22.62,267,1,1,6
22.33,268,1,1,7
22.64,269,0,1,1
22.7,270,0,1,2
22.7,271,0,1,3
22.78,272,0,1,4
20.65,273,0,1,5
